,Person,Total Gross(Million),Movie involved,Average Gross for each movie,Most profitbale movie,Gross of most profitable
0,Samuel L. Jackson,5149100.0,73.0,70500.0,The Avengers,623400.0
1,Harrison Ford,4955500.0,42.0,118000.0,Star Wars: The Force Awakens,936700.0
2,Tom Hanks,4522900.0,47.0,96200.0,Toy Story 3,415000.0
3,Morgan Freeman,4515800.0,62.0,72800.0,The Dark Knight,534900.0
4,"Robert Downey, Jr.",4281300.0,54.0,79300.0,The Avengers,623400.0
5,Eddie Murphy,3811100.0,39.0,97700.0,Shrek 2,441200.0
6,Tom Cruise,3775400.0,39.0,96800.0,War of the Worlds,234300.0
7,Stanley Tucci,3758100.0,52.0,72300.0,Beauty and the Beast,504000.0
8,Scarlett Johansson,3674900.0,40.0,91900.0,The Avengers,623400.0
9,Ian McKellen,3654400.0,32.0,114200.0,Beauty and the Beast,504000.0
10,Johnny Depp,3541200.0,46.0,77000.0,Dead Man's Chest,423300.0
11,Anthony Daniels,3420700.0,8.0,427600.0,Star Wars: The Force Awakens,936700.0
12,Michael Caine,3396500.0,59.0,57600.0,The Dark Knight,534900.0
13,Gary Oldman,3377400.0,40.0,84400.0,The Dark Knight,534900.0
14,Robin Williams,3279300.0,49.0,66900.0,Night at the Museum,250900.0
15,Robert DeNiro,3233700.0,81.0,39900.0,Meet the Fockers,279300.0
16,Emma Watson,3206400.0,18.0,178100.0,Beauty and the Beast,504000.0
17,Will Smith,3205000.0,25.0,128199.99999999999,Suicide Squad,325100.0
18,Bruce Willis,3189400.0,60.0,53200.0,Sixth Sense,293500.0
19,Stellan Skarsgard,3175000.0,43.0,73800.0,The Avengers,623400.0
20,Matt Damon,3163000.0,41.0,77100.0,The Martian,228400.0
21,Andy Serkis,3037400.0,24.0,126600.0,Star Wars: The Force Awakens,936700.0
22,Cameron Diaz,3031700.0,34.0,89200.0,Shrek 2,441200.0
23,Woody Harrelson,2995300.0,55.0,54500.0,Catching Fire,424700.0
24,Orlando Bloom,2988400.0,18.0,166000.0,Dead Man's Chest,423300.0
25,Liam Neeson,2954400.0,66.0,44800.0,The Phantom Menace,474500.0
26,Bradley Cooper,2947500.0,26.0,113400.0,Guardians of the Galaxy 2,389800.0
27,Ralph Fiennes,2903100.0,37.0,78500.0,Harry Potter / Deathly Hallows (P2),381000.0
28,Don Cheadle,2885500.0,34.0,84900.0,Avengers: Age of Ultron,459000.0
29,Cate Blanchett,2850000.0,42.0,67900.0,Return of the King,377800.0
30,Ben Stiller,2829100.0,38.0,74500.0,Meet the Fockers,279300.0
31,Helena Bonham Carter,2822000.0,36.0,78400.0,Harry Potter / Deathly Hallows (P2),381000.0
32,Vin Diesel,2813800.0,22.0,127900.0,Guardians of the Galaxy 2,389800.0
33,Elizabeth Banks,2811700.0,36.0,78100.0,Catching Fire,424700.0
34,Dwayne Johnson,2807400.0,26.0,108000.0,Furious 7,353000.0
35,Julia Roberts,2780400.0,43.0,64700.0,Ocean's Eleven,183400.0
36,Mark Wahlberg,2773300.0,39.0,71100.0,Transformers 4,245400.0
37,Owen Wilson,2772600.0,41.0,67600.0,Night at the Museum,250900.0
38,Brad Pitt,2721100.0,42.0,64800.0,World War Z,202400.0
39,Idris Elba,2710800.0,30.0,90400.0,Avengers: Age of Ultron,459000.0
40,Tommy Lee Jones,2693100.0,46.0,58500.0,Men in Black,250700.0
41,Adam Sandler,2661000.0,32.0,83200.0,Hotel Transylvania 2,169700.0
42,Steve Carell,2649300.0,28.0,94600.0,Despicable Me 2,368100.0
43,Zoe Saldana,2639800.0,28.0,94300.0,Avatar,760500.0
44,Jeremy Renner,2634600.0,23.0,114500.0,The Avengers,623400.0
45,Daniel Radcliffe,2634400.0,17.0,155000.0,Harry Potter / Deathly Hallows (P2),381000.0
46,Jonah Hill,2620100.0,29.0,90300.0,The LEGO Movie,257800.0
47,Simon Pegg,2620100.0,20.0,131000.0,Star Wars: The Force Awakens,936700.0
48,Ewan McGregor,2593600.0,48.0,54000.0,Beauty and the Beast,504000.0
49,Tyrese Gibson,2565600.0,17.0,150900.0,Transformers 2,402100.0
50,Jim Carrey,2545400.0,28.0,90900.0,The Grinch,260000.0
51,Dustin Hoffman,2522100.0,43.0,58700.0,Meet the Fockers,279300.0
52,Leonardo DiCaprio,2518300.0,25.0,100700.0,Titanic,658700.0
53,Hugh Jackman,2515500.0,26.0,96700.0,X-Men: The Last Stand,234400.0
54,Michael Keaton,2509200.0,38.0,66000.0,Toy Story 3,415000.0
55,Jennifer Lawrence,2486700.0,19.0,130900.0,Catching Fire,424700.0
56,Chris Evans,2482600.0,24.0,103400.0,The Avengers,623400.0
57,Philip Seymour Hoffman,2463700.0,40.0,61600.0,Catching Fire,424700.0
58,Sandra Bullock,2462600.0,35.0,70400.0,Minions,336000.0
59,Sylvester Stallone,2440200.0,42.0,58100.0,Guardians of the Galaxy 2,389800.0
60,Alec Baldwin,2437500.0,53.0,46000.0,Pearl Harbor,198500.0
61,Anne Hathaway,2419500.0,26.0,93100.0,The Dark Knight Rises,448100.0
62,Laurence Fishburne,2410600.0,39.0,61800.0,Batman v Superman,330400.0
63,Nicolas Cage,2407100.0,57.0,42200.0,National Treasure: Book of Secrets,220000.0
64,John Travolta,2398800.0,45.0,53300.0,Grease,188800.0
65,Rupert Grint,2390500.0,13.0,183900.0,Harry Potter / Deathly Hallows (P2),381000.0
66,Denzel Washington,2387900.0,45.0,53100.0,American Gangster,130199.99999999999
67,Antonio Banderas,2386400.0,43.0,55500.0,Shrek 2,441200.0
68,Michelle Rodriguez,2368000.0,19.0,124600.0,Avatar,760500.0
69,Kathy Bates,2330400.0,47.0,49600.0,Titanic,658700.0
70,Ben Affleck,2288800.0,38.0,60200.0,Batman v Superman,330400.0
71,Sigourney Weaver,2280100.0,47.0,48500.0,Avatar,760500.0
72,Jon Voight,2267300.0,35.0,64800.0,Transformers,319200.0
73,James Franco,2262000.0,41.0,55200.0,Spider-Man,403700.0
74,Carrie Fisher,2258500.0,17.0,132900.0,Star Wars: The Force Awakens,936700.0
75,John Goodman,2230800.0,40.0,55800.0,"Monsters, Inc.",289900.0
76,Christian Bale,2215800.0,37.0,59900.0,The Dark Knight,534900.0
77,Anthony Hopkins,2212500.0,57.0,38800.0,Mission: Impossible II,215400.0
78,Mike Myers,2211400.0,15.0,147400.0,Shrek 2,441200.0
79,Seth Rogen,2208300.0,25.0,88300.0,Kung Fu Panda,215400.0
80,Kurt Russell,2208200.0,37.0,59700.0,Guardians of the Galaxy 2,389800.0
81,Will Ferrell,2192500.0,32.0,68500.0,The LEGO Movie,257800.0
82,Hugo Weaving,2189400.0,19.0,115200.0,Fellowship of the Ring,315500.0
83,Kristen Wiig,2182200.0,31.0,70400.0,Despicable Me 2,368100.0
84,Angelina Jolie,2179500.0,32.0,68100.0,Maleficent,241400.0
85,Mark Hamill,2176900.0,12.0,181400.0,Star Wars: The Force Awakens,936700.0
86,Alan Tudyk,2174900.0,12.0,181200.0,Rogue One,532200.0
87,Jamie Foxx,2154000.0,31.0,69500.0,The Amazing Spider-Man 2,202900.0
88,Shia LaBeouf,2129200.0,21.0,101400.0,Transformers 2,402100.0
89,Amy Adams,2126000.0,28.0,75900.0,Batman v Superman,330400.0
90,Mel Gibson,2113900.0,34.0,62200.0,Signs,228000.0
91,Forest Whitaker,2112900.0,55.0,38400.0,Rogue One,532200.0
92,Kevin Costner,2095800.0000000002,38.0,55200.0,Man of Steel,291000.0
93,Josh Hutcherson,2094699.9999999998,17.0,123200.0,Catching Fire,424700.0
94,Christopher Walken,2093000.0,62.0,33800.0,The Jungle Book,364000.0
95,Chris Pratt,2083199.9999999998,15.0,138900.0,Jurassic World,652300.0
96,George Clooney,2078800.0000000002,34.0,61100.0,Gravity,274100.0
97,Natalie Portman,2077600.0,30.0,69300.0,The Phantom Menace,474500.0
98,Julianne Moore,2075900.0,58.0,35800.0,Mockingjay Part 1,337100.0
99,Sally Field,2075600.0,28.0,74100.0,Forrest Gump,330300.0
100,Chris Hemsworth,2069900.0,16.0,129400.0,The Avengers,623400.0
101,Ben Kingsley,2066000.0,52.0,39700.0,Iron Man 3,409000.0
102,Channing Tatum,2059199.9999999998,32.0,64400.00000000001,The LEGO Movie,257800.0
103,Bill Murray,2054500.0,43.0,47800.0,The Jungle Book,364000.0
104,Queen Latifah,2049900.0,31.0,66100.0,Ice Age 3,196600.0
105,Meryl Streep,2038400.0,53.0,38500.0,Mamma Mia!,144100.0
106,Marisa Tomei,2029800.0,44.0,46100.0,Captain America 3,408100.0
107,Karl Urban,2008400.0,19.0,105700.0,Return of the King,377800.0
108,Jeffrey Wright,2006100.0,26.0,77200.0,Catching Fire,424700.0
109,Peter Mayhew,1997400.0,4.0,499400.0,Star Wars: The Force Awakens,936700.0
110,Steve Coogan,1989700.0,28.0,71100.0,Despicable Me 2,368100.0
111,Halle Berry,1985300.0,31.0,64000.0,X-Men: The Last Stand,234400.0
112,John Leguizamo,1982000.0,53.0,37400.0,Ice Age 3,196600.0
113,John C. Reilly,1980700.0,37.0,53500.0,Guardians of the Galaxy,333200.0
114,Keanu Reeves,1959400.0,46.0,42600.0,The Matrix Reloaded,281600.0
115,Mark Ruffalo,1959300.0,35.0,56000.0,The Avengers,623400.0
116,Kirsten Dunst,1940400.0,34.0,57100.0,Spider-Man,403700.0
117,Giovanni Ribisi,1928400.0,32.0,60300.0,Avatar,760500.0
118,Jada Pinkett-Smith,1927700.0,24.0,80300.0,The Matrix Reloaded,281600.0
119,Matthew McConaughey,1925900.0,38.0,50700.0,Sing,270300.0
120,Paul Giamatti,1904500.0,46.0,41400.0,The Hangover Part II,254500.0
121,Jason Bateman,1892000.0,31.0,61000.0,Zootopia,341300.0
122,Elijah Wood,1889300.0,37.0,51100.0,Return of the King,377800.0
123,Arnold Schwarzenegger,1885000.0,30.0,62800.0,Terminator 2,205900.0
124,Anthony Mackie,1869200.0,33.0,56600.0,Avengers: Age of Ultron,459000.0
125,Judi Dench,1845600.0,34.0,54300.0,Skyfall,304400.0
126,James Marsden,1845300.0,32.0,57700.0,X-Men: The Last Stand,234400.0
127,Brendan Gleeson,1838500.0,45.0,40900.0,Harry Potter / Goblet of Fire,290000.0
128,Gwyneth Paltrow,1834000.0,33.0,55600.0,Iron Man 3,409000.0
129,Paul Rudd,1829700.0,33.0,55400.0,Captain America 3,408100.0
130,Danny DeVito,1829000.0,46.0,39800.0,The Lorax,214000.0
131,Kristen Stewart,1819900.0,30.0,60700.0,The Twilight Saga: Eclipse,300500.0
132,Robert Duvall,1814400.0,55.0,33000.0,Deep Impact,140500.0
133,Russell Crowe,1797500.0,33.0,54500.0,Man of Steel,291000.0
134,Jack Nicholson,1795500.0,34.0,52800.0,Batman,251200.0
135,Ed Harris,1793000.0,51.0,35200.0,National Treasure: Book of Secrets,220000.0
136,Liam Hemsworth,1792000.0,11.0,162900.0,Catching Fire,424700.0
137,Diane Lane,1790200.0,41.0,43700.0,Inside Out,356500.0
138,Steve Martin,1786000.0,37.0,48300.0,Home,177400.0
139,Vince Vaughn,1784000.0,35.0,51000.0,The Lost World,229100.0
140,Alan Rickman,1783400.0,27.0,66100.0,Harry Potter / Deathly Hallows (P2),381000.0
141,Jeff Bridges,1779700.0,53.0,33600.0,Iron Man,318400.0
142,Michael Douglas,1776900.0,36.0,49400.0,Ant-Man,180200.0
143,Brian Cox,1776500.0,45.0,39500.0,X2: X-Men United,214900.0
144,Tim Allen,1763000.0,20.0,88100.0,Toy Story 3,415000.0
145,Ryan Reynolds,1752200.0,33.0,53100.0,Deadpool,363100.0
146,Dennis Quaid,1751800.0,56.0,31300.0,The Day After Tomorrow,186700.0
147,Chris Pine,1750400.0,20.0,87500.0,Wonder Woman,412600.0
148,Robert Pattinson,1744800.0,15.0,116300.0,The Twilight Saga: Eclipse,300500.0
149,Bonnie Hunt,1741700.0,19.0,91700.0,Zootopia,341300.0
200,Jackie Chan,1732300.0,31.0,55900.0,Rush Hour 2,226200.0
201,Nicole Kidman,1729000.0,47.0,36800.0,Happy Feet,198000.0
202,Billy Burke,1719700.0,15.0,114600.0,The Twilight Saga: Eclipse,300500.0
203,Geoffrey Rush,1714300.0,30.0,57100.0,Pirates of the Caribbean 3,309400.0
204,Paul Bettany,1713100.0,22.0,77900.0,Avengers: Age of Ultron,459000.0
205,Clint Eastwood,1710900.0,46.0,37200.0,Gran Torino,148100.0
206,Jon Favreau,1679100.0,19.0,88400.0,Iron Man 3,409000.0
207,Jude Law,1671100.0,40.0,41800.0,Sherlock Holmes,209000.0
208,Chris Cooper,1671000.0,35.0,47700.0,The Amazing Spider-Man 2,202900.0
209,Christopher Lee,1666400.0,8.0,208300.0,Revenge of the Sith,380300.0
210,Charlize Theron,1651700.0,36.0,45900.0,Hancock,227900.0
211,Willem Dafoe,1646500.0,55.0,29900.0,Spider-Man,403700.0
212,Paul Walker,1644400.0,19.0,86500.0,Furious 7,353000.0
213,Robert Redford,1643400.0,31.0,53000.0,Captain America 2,259800.0
214,Sean Bean,1641800.0,31.0,53000.0,Fellowship of the Ring,315500.0
215,Jennifer Aniston,1627100.0,32.0,50800.0,Bruce Almighty,242800.0
216,Rachel McAdams,1624700.0,24.0,67700.0,Doctor Strange,232600.0
217,Jack Black,1616600.0,24.0,67400.0,King Kong,218100.0
218,Drew Barrymore,1614600.0,36.0,44900.0,E.T.,435100.0
219,Josh Brolin,1610700.0,36.0,44700.0,Avengers: Age of Ultron,459000.0
220,Clark Gregg,1609700.0,16.0,100600.0,The Avengers,623400.0
221,Michael Sheen,1603100.0,28.0,57300.0,Alice in Wonderland,334200.0
222,Chris Rock,1603000.0,23.0,69700.0,Madagascar 3,216400.0
223,Bryce Dallas Howard,1591600.0,11.0,144700.0,Jurassic World,652300.0
224,Daniel Craig,1586300.0,25.0,63500.0,Skyfall,304400.0
225,Joseph Gordon-Levitt,1578600.0,34.0,46400.0,The Dark Knight Rises,448100.0
226,Jonathan Pryce,1567500.0,32.0,49000.0,Dead Man's Chest,423300.0
227,Danny Glover,1565700.0,43.0,36400.0,2012,166100.0
228,Keira Knightley,1564700.0,25.0,62600.0,Dead Man's Chest,423300.0
229,Gal Gadot,1563900.0,10.0,156400.0,Wonder Woman,412600.0
230,Naomie Harris,1563000.0,18.0,86800.0,Dead Man's Chest,423300.0
231,Emma Stone,1558700.0,19.0,82000.0,The Amazing Spider-Man,262000.0
232,Emma Thompson,1558100.0,32.0,48700.0,Beauty and the Beast,504000.0
233,Ice Cube,1554000.0,32.0,48600.0,22 Jump Street,191700.0
234,Reese Witherspoon,1551300.0,32.0,48500.0,Sing,270300.0
235,Sean Connery,1550600.0,37.0,41900.0,Indiana Jones and the Last Crusade,197200.0
236,Bill Paxton,1549900.0,18.0,86100.0,Titanic,658700.0
237,John Malkovich,1549600.0,50.0,31000.0,Transformers 3,352400.0
238,Helen Mirren,1546600.0,46.0,33600.0,Monsters University,268500.0
239,Liv Tyler,1545600.0,23.0,67200.0,Return of the King,377800.0
240,Zach Galifianakis,1542500.0,20.0,77100.0,The Hangover,277300.0
241,Justin Long,1541000.0,35.0,44000.0,Alvin and the Chipmunks 2,219600.0
242,Tobey Maguire,1537500.0,14.0,109800.0,Spider-Man,403700.0
243,Patrick Stewart,1534400.0,21.0,73100.0,X-Men: The Last Stand,234400.0
244,Viggo Mortensen,1530300.0,29.0,52800.0,Return of the King,377800.0
245,Kevin Spacey,1530200.0,39.0,39200.0,Superman Returns,200100.0
246,Rene Russo,1523900.0,22.0,69300.0,Thor: The Dark World,206400.0
247,Jeff Goldblum,1523300.0,23.0,66200.0,Jurassic Park,402500.0
248,Kevin Bacon,1519200.0,48.0,31700.0,Apollo 13,173800.0
249,Kevin Hart,1517600.0,22.0,69000.0,The Secret Life of Pets,368400.0
250,Anna Faris,1516500.0,22.0,68900.0,Alvin and the Chipmunks 2,219600.0
251,Kate Winslet,1513000.0,32.0,47300.0,Titanic,658700.0
252,Luke Evans,1509700.0,12.0,125800.0,Beauty and the Beast,504000.0
253,Cedric the Entertainer,1509200.0,28.0,53900.0,Madagascar 3,216400.0
254,Jason Statham,1509000.0,32.0,47200.0,Furious 7,353000.0
255,Kevin Kline,1496000.0,40.0,37400.0,Beauty and the Beast,504000.0
256,Chris 'Ludacris' Bridges,1495400.0,13.0,115000.0,Furious 7,353000.0
257,Pierce Brosnan,1486700.0,39.0,38100.0,Mrs. Doubtfire,219200.0
258,Djimon Hounsou,1486100.0,19.0,78200.0,Furious 7,353000.0
259,Kellan Lutz,1482800.0,16.0,92700.0,The Twilight Saga: Eclipse,300500.0
260,Taylor Lautner,1482200.0,8.0,185300.0,The Twilight Saga: Eclipse,300500.0
261,Ian McDiarmid,1474800.0,4.0,368700.0,The Phantom Menace,474500.0
262,Leslie Mann,1474800.0,25.0,59000.0,Big Daddy,163500.0
263,Josh Duhamel,1466300.0,14.0,104700.0,Transformers 2,402100.0
264,Tom Hardy,1463400.0,19.0,77000.0,The Dark Knight Rises,448100.0
265,Benedict Cumberbatch,1461900.0,15.0,97500.0,The Hobbit 2,258399.99999999997
266,Lupita Nyong'o,1458400.0,5.0,291700.0,Star Wars: The Force Awakens,936700.0
267,Al Pacino,1457300.0,39.0,37400.0,The Godfather,135000.0
268,Rose Byrne,1455100.0,25.0,58200.0,Bridesmaids,169100.0
269,Aaron Eckhart,1450100.0,31.0,46800.0,The Dark Knight,534900.0
270,Michelle Pfeiffer,1448900.0,37.0,39200.0,Batman Returns,162800.0
271,Susan Sarandon,1436400.0,62.0,23200.0,Enchanted,127800.0
272,Martin Freeman,1429700.0,13.0,110000.0,Captain America 3,408100.0
273,Famke Janssen,1428600.0,31.0,46100.0,X-Men: The Last Stand,234400.0
274,Gerard Butler,1427500.0,29.0,49200.0,How to Train Your Dragon,217600.0
275,Carla Gugino,1419100.0,26.0,54600.0,Night at the Museum,250900.0
276,Richard Gere,1413900.0,44.0,32100.0,Pretty Woman,178400.0
277,Dakota Fanning,1408200.0,23.0,61200.0,The Twilight Saga: Eclipse,300500.0
278,Terrence Howard,1399000.0,34.0,41100.0,Iron Man,318400.0
279,Tom Hiddleston,1398400.0,14.0,99900.0,The Avengers,623400.0
280,Kevin James,1390000.0,13.0,106900.0,Hitch,179500.0
281,Josh Gad,1382000.0,14.0,98700.0,Beauty and the Beast,504000.0
282,Ashley Greene,1368800.0,11.0,124400.0,The Twilight Saga: Eclipse,300500.0
283,Glenn Close,1361100.0,32.0,42500.0,Guardians of the Galaxy,333200.0
284,William Hurt,1360500.0,30.0,45400.0,Captain America 3,408100.0
285,Billy Crystal,1358600.0,19.0,71500.0,"Monsters, Inc.",289900.0
286,Matthew Broderick,1351700.0,34.0,39800.0,Lion King,422800.0
287,Colin Farrell,1350100.0,35.0,38600.0,Fantastic Beasts and Where To Find Them,234000.0
288,Oscar Isaac,1346400.0,17.0,79200.0,Star Wars: The Force Awakens,936700.0
289,Sacha Baron Cohen,1345900.0,12.0,112200.0,Madagascar 3,216400.0
290,"Cuba Gooding, Jr.",1335000.0,28.0,47700.0,Pearl Harbor,198500.0
291,Frances McDormand,1330900.0,34.0,39100.0,Transformers 3,352400.0
292,Sam Worthington,1329900.0,15.0,88700.0,Avatar,760500.0
293,Jena Malone,1320900.0,23.0,57400.0,Catching Fire,424700.0
294,Viola Davis,1315900.0,25.0,52600.0,Suicide Squad,325100.0
295,Ian Holm,1307600.0,30.0,43600.0,Return of the King,377800.0
296,Frank Grillo,1304500.0,16.0,81500.0,Captain America 3,408100.0
297,Jackson Rathbone,1302500.0,5.0,260500.0,The Twilight Saga: Eclipse,300500.0
298,Cary Elwes,1297800.0,30.0,43300.0,Twister,241700.0
299,Common,1292900.0,19.0,68000.0,Suicide Squad,325100.0
400,Martin Lawrence,1291000.0,24.0,53800.0,Wild Hogs,168300.0
401,Michael Fassbender,1286100.0,27.0,47600.0,X-Men: Days of Future Past,233900.0
402,Tilda Swinton,1281000.0,33.0,38800.0,The Chronicles of Narnia,291700.0
403,Jennifer Lopez,1254400.0,27.0,46500.0,Home,177400.0
404,William H. Macy,1246200.0,38.0,32800.0,Jurassic Park III,181200.0
405,Diane Keaton,1239200.0,37.0,33500.0,The Godfather,135000.0
406,Jeremy Irons,1239000.0,26.0,47700.0,Lion King,422800.0
407,Mark Strong,1231600.0,36.0,34200.0,Sherlock Holmes,209000.0
408,Catherine Zeta-Jones,1229300.0,24.0,51200.0,Chicago,170700.0
409,Rachel Weisz,1229200.0,35.0,35100.0,Oz The Great and Powerful,234900.0
410,Colin Firth,1226900.0,34.0,36100.0,Mamma Mia!,144100.0
411,Jesse Eisenberg,1221800.0,27.0,45300.0,Batman v Superman,330400.0
412,Irrfan Khan,1221300.0,8.0,152700.0,Jurassic World,652300.0
413,Guy Pearce,1212500.0,33.0,36700.0,Iron Man 3,409000.0
414,Albert Brooks,1208300.0,21.0,57500.0,Finding Dory,486300.0
415,Tom Wilkinson,1207200.0,44.0,27400.0,Rush Hour,141200.0
416,Ed Helms,1205900.0,13.0,92800.0,The Hangover,277300.0
417,Michael Clarke Duncan,1201700.0,21.0,57200.0,Armageddon,201600.0
418,Renee Zellweger,1197900.0,28.0,42800.0,Chicago,170700.0
419,Russell Brand,1187400.0,10.0,118700.0,Despicable Me 2,368100.0
420,Sebastian Stan,1186000.0,15.0,79100.0,Captain America 3,408100.0
421,Marion Cotillard,1183300.0,20.0,59200.0,The Dark Knight Rises,448100.0
422,Bryan Cranston,1179200.0,19.0,62100.0,Madagascar 3,216400.0
423,Alfred Molina,1173700.0,41.0,28600.0,Spider-Man 2,373600.0
424,Mads Mikkelsen,1171800.0,15.0,78100.0,Rogue One,532200.0
