,Person,Total Gross(Million),Movie involved,Average Gross for each movie,Most profitbale movie,Gross of most profitable
1308,Blake Lively,485000.0,11.0,44100.0,Green Lantern,116600.0
1309,Chris Klein,481600.0,14.0,34400.0,American Pie 2,145100.0
1310,James Garner,481500.0,13.0,37000.0,Maverick,101600.0
1311,Hailee Steinfeld,480400.0,12.0,40000.0,Pitch Perfect 2,184300.0
1312,Jaden Smith,480000.0,4.0,120000.0,The Karate Kid,176600.0
1313,Mary Elizabeth Winstead,479900.0,17.0,28200.0,Live Free or Die Hard,134500.0
1314,Virginia Madsen,476000.0,31.0,15400.0,Sideways,71500.0
1315,Hilary Swank,475900.0,18.0,26400.0,Million Dollar Baby,100500.0
1316,Mindy Kaling,470900.0,3.0,157000.0,Inside Out,356500.0
1317,Emma Roberts,467200.0,17.0,27500.0,We're the Millers,150400.0
1318,Rebel Wilson,467100.0,7.0,66700.0,Pitch Perfect 2,184300.0
1319,Clark Duke,466900.0,9.0,51900.0,The Croods,187200.0
1320,Mandy Moore,465800.0,13.0,35800.0,Tangled,200800.0
1321,Woody Allen,461300.0,27.0,17100.0,Antz,90800.0
1322,Raven-Symone,460500.0,6.0,76800.0,Doctor Dolittle,144200.0
1323,Jason Schwartzman,457200.0,23.0,19900.0,Saving Mr. Banks,83300.0
1324,Lily Tomlin,451600.0,20.0,22600.0,9 to 5,103300.0
1325,Kate Mara,450800.0,14.0,32200.000000000004,The Martian,228400.0
1326,Ty Burrell,444900.0,10.0,44500.0,The Incredible Hulk,134800.0
1327,Nick Frost,443700.0,12.0,37000.0,Snow White and the Huntsman,155300.0
1328,Lukas Haas,443200.0,22.0,20100.0,The Revenant,183600.0
1329,Kodi Smit-McPhee,440700.0,8.0,55100.0,Dawn of the Planet of the Apes,208500.0
1330,Theo James,440000.0,5.0,88000.0,Divergent,150900.0
1331,Dev Patel,439800.0,8.0,55000.0,Slumdog Millionaire,141300.0
1332,Amanda Bynes,435600.0,7.0,62200.0,Robots,128199.99999999999
1333,Breckin Meyer,433600.0,12.0,36100.0,Garfield,75400.0
1334,Neve Campbell,432800.0,12.0,36100.0,Scream,103000.0
1335,Christopher Reeve,427600.0,15.0,28500.0,Superman,134200.0
1336,Sofia Boutella,418800.0,4.0,104700.0,Star Trek Beyond,158800.0
1337,Tom Arnold,415900.0,18.0,23100.0,True Lies,146300.0
1338,John Krasinski,415300.0,18.0,23100.0,It's Complicated,112700.0
1339,Kal Penn,415200.0,13.0,31900.0,Superman Returns,200100.0
1340,Ryan Phillippe,414700.0,17.0,24400.0,I Know What You Did Last Summer,72600.0
1341,Tony Jaa,414600.0,8.0,51800.0,Furious 7,353000.0
1342,Lily Collins,413100.0,9.0,45900.0,The Blind Side,256000.0
1343,Jessica Lange,410900.0,13.0,31600.0,Tootsie,177200.0
1344,Brandon T. Jackson,407900.0,8.0,51000.0,Tropic Thunder,110500.0
1345,Freida Pinto,406200.0,8.0,50800.0,Rise of the Planet of the Apes,176800.0
1346,Freddie Highmore,404700.0,9.0,45000.0,Charlie and the Chocolate Factory,206500.0
1347,Hilary Duff,402300.0,10.0,40200.0,Cheaper by the Dozen,138600.0
1348,Cara Delevigne,400000.0,4.0,100000.0,Suicide Squad,325100.0
1349,Jesse Plemons,398500.0,13.0,30700.0,Bridge of Spies,72300.0
1350,Omar Epps,395500.0,16.0,24700.0,Scream 2,101400.0
1351,Selena Gomez,392100.0,7.0,56000.0,Hotel Transylvania 2,169700.0
1352,Olga Kurylenko,391700.0,12.0,32600.0,Quantum of Solace,168400.0
1353,Juno Temple,387100.0,16.0,24200.0,Maleficent,241400.0
1354,January Jones,378100.0,9.0,42000.0,X-Men: First Class,146400.0
1355,Shawn Wayans,377900.0,5.0,75600.0,Scary Movie,157000.0
1356,Alicia Silverstone,375200.0,17.0,22100.0,Batman and Robin,107300.0
1357,Eugenio Derbez,373700.0,10.0,37400.0,Beverly Hills Chihuahua,94500.0
1358,Cher,373100.0,11.0,33900.0,Moonstruck,80600.0
1359,Ezra Miller,371200.0,10.0,37100.0,Fantastic Beasts and Where To Find Them,234000.0
1360,Edward Burns,370300.0,13.0,28500.0,Saving Private Ryan,216500.0
1361,Alexa Vega,369500.0,9.0,41100.0,Spy Kids,112700.0
1362,Denise Richards,365600.0,12.0,30500.0,World Is Not Enough,126900.0
1363,Lake Bell,365400.0,10.0,36500.0,It's Complicated,112700.0
1364,Adam Brody,360300.0,17.0,21200.0,Mr. & Mrs. Smith,186300.0
1365,Franka Potente,360000.0,9.0,40000.0,The Bourne Supremacy,176200.0
1366,Adam DeVine,359400.0,4.0,89800.0,Pitch Perfect 2,184300.0
1367,Noomi Rapace,359200.0,9.0,39900.0,Sherlock Holmes 2,186800.0
1368,Gena Rowlands,358200.0,21.0,17100.0,The Notebook,81000.0
1369,Rashida Jones,357900.0,11.0,32500.0,The Social Network,97000.0
1370,Mark Rylance,357600.0,6.0,59600.0,Dunkirk,187900.0
1371,Gene Wilder,357000.0,10.0,35700.0,Blazing Saddles,119600.0
1372,Madonna,349300.0,14.0,24900.0,League of Their Own,107500.0
1373,Olivia Thirlby,348900.0,16.0,21800.0,Juno,143500.0
1374,Jon Heder,348200.0,10.0,34800.0,Blades of Glory,118600.0
1375,Dane DeHaan,344600.0,10.0,34500.0,The Amazing Spider-Man 2,202900.0
1376,Sally Hawkins,342800.0,16.0,21400.0,Godzilla,200700.0
1377,Hayden Panettiere,338400.0,12.0,28200.0,Remember the Titans,115700.0
1378,Katherine Waterston,336200.0,4.0,84000.0,Fantastic Beasts and Where To Find Them,234000.0
1379,Jonathan Rhys Meyers,335900.0,17.0,19800.0,Mission: Impossible III,134000.0
1380,Jennifer Love Hewitt,333600.0,12.0,27800.0,Garfield,75400.0
1381,Linda Hamilton,332300.0,6.0,55400.0,Terminator 2,205900.0
1382,Emmy Rossum,331200.0,12.0,27600.0,The Day After Tomorrow,186700.0
1383,Jorma Taccone,330800.0,4.0,82700.0,The LEGO Movie,257800.0
1384,Miley Cyrus,321900.0,4.0,80500.0,Bolt,114100.0
1385,Carey Mulligan,320000.0,11.0,29100.0,The Great Gatsby,144800.0
1386,Nia Vardalos,317900.0,5.0,63600.0,My Big Fat Greek Wedding,241400.0
1387,Bella Thorne,315300.0,8.0,39400.0,Alvin and the Chipmunks: The Road Chip,85900.0
1388,Jamie Harris,314400.0,7.0,44900.0,Rise of the Planet of the Apes,176800.0
1389,Warren Beatty,312200.0,9.0,34700.0,Dick Tracy,103700.0
1390,Alicia Vikander,309700.0,12.0,25800.0,Jason Bourne,162400.0
1391,Christine Taylor,307900.0,7.0,44000.0,DodgeBall,114300.0
1392,Thomas Mann,307400.0,6.0,51200.0,Kong: Skull Island,168100.0
1393,Matthew Goode,305900.0,13.0,23500.0,Watchmen,107500.0
1394,Kristofer Hivju,304600.0,5.0,60900.0,Fate of the Furious,225800.0
1395,Michael Nyqvist,303600.0,9.0,33700.0,Mission: Impossible 4,209400.0
1396,Mathieu Amalric,300700.0,13.0,23100.0,Quantum of Solace,168400.0
1397,Sharon Leal,297300.0,7.0,42500.0,Dreamgirls,103400.0
1398,Amber Heard,290400.0,15.0,19400.0,Pineapple Express,87300.0
1399,Rory Culkin,289900.0,12.0,24200.0,Signs,228000.0
1700,Jeffrey Dean Morgan,289600.0,14.0,20700.0,Watchmen,107500.0
1701,Ben Barnes,287700.0,5.0,57500.0,The Chronicles of Narnia: Prince Caspian,141600.0
1702,Vanessa Hudgens,287500.0,9.0,31900.0,Journey 2,103900.0
1703,Rutger Hauer,286700.0,27.0,10600.0,Sin City,74100.0
1704,Boris Kodjoe,286400.0,8.0,35800.0,Madea's Family Reunion,63300.0
1705,David Duchovny,285600.0,19.0,15000.0,X-Files,83900.0
1706,Abbie Cornish,284900.0,12.0,23700.0,Limitless,79200.0
1707,Boyd Holbrook,284300.0,5.0,56900.0,Logan,226300.0
1708,Rihanna,283300.0,3.0,94400.0,Home,177400.0
1709,Zach Braff,281700.0,6.0,47000.0,Oz The Great and Powerful,234900.0
1710,Snoop Dogg,281400.0,8.0,35200.0,Starsky and Hutch,88200.0
1711,Chuck Norris,279700.0,17.0,16500.0,The Expendables 2,85000.0
1712,Alexa Davalos,278700.0,5.0,55700.0,Clash of the Titans,163200.0
1713,Sophie Cookson,274700.0,3.0,91600.0,Kingsman,128300.00000000001
1714,AnnaSophia Robb,272700.0,8.0,34100.0,Bridge to Terabithia,82300.0
1715,Michael B. Jordan,272600.0,5.0,54500.0,Creed,109800.0
1716,Saoirse Ronan,270300.0,13.0,20800.0,The Grand Budapest Hotel,59300.0
1717,Chris Brown,269400.0,6.0,44900.0,Think Like a Man,91500.0
1718,Jack O'Connell,269100.0,9.0,29900.0,Unbroken,115600.0
1719,Leighton Meester,264000.0,10.0,26400.0,Date Night,98700.0
1720,Trey Parker,263600.0,1.0,263600.0,Despicable Me 3,263600.0
1721,Mireille Enos,263300.0,3.0,87800.0,World War Z,202400.0
1722,Whitney Houston,261600.00000000003,4.0,65400.00000000001,Bodyguard,122000.0
1723,50 Cent,259700.0,7.0,37100.0,Spy,110800.0
1724,Alex Pettyfer,259399.99999999997,7.0,37100.0,Magic Mike,113700.0
1725,Kaley Cuoco,258399.99999999997,4.0,64599.99999999999,Hop,108100.0
1726,Michelle Trachtenberg,254200.0,8.0,31800.0,Inspector Gadget,97400.0
1727,Quvenzhane Wallis,253100.0,4.0,63300.0,Trolls,153700.0
1728,Melanie Laurent,245800.0,6.0,41000.0,Inglourious Basterds,120500.0
1729,Dana Carvey,241600.0,7.0,34500.0,Wayne's World,121700.0
1730,Mo'Nique,240600.0,13.0,18500.0,Precious,47600.0
1731,Bow Wow,240600.0,7.0,34400.0,Fast and the Furious 3,62500.0
1732,Zoe Kazan,240100.0,16.0,15000.0,It's Complicated,112700.0
1733,Emily Browning,238900.0,10.0,23900.0,Lemony Snicket,118600.0
1734,Julianne Hough,236700.0,5.0,47300.0,Safe Haven,71300.0
1735,Max Thieriot,233500.0,9.0,25900.0,The Pacifier,113100.0
1736,Frankie Muniz,233000.0,7.0,33300.0,Racing Stripes,49800.0
1737,Jim Sturgess,232800.0,12.0,19400.0,21,81200.0
1738,John Cena,230300.0,6.0,38400.0,Trainwreck,110200.0
1739,Peter Berg,229800.0,5.0,46000.0,Collateral,101000.0
1740,Jessica Lucas,229300.0,5.0,45900.0,Cloverfield,80000.0
1741,Chris Messina,221200.0,18.0,12300.0,Julie & Julia,94100.0
1742,Damon Wayans,217400.0,11.0,19800.0,The Last Boy Scout,59500.0
1743,Tessa Thompson,213100.0,4.0,53300.0,Creed,109800.0
1744,Adrianne Palicki,210400.0,4.0,52600.0,G.I. Joe: Retaliation,122500.0
1745,Brooklyn Decker,209900.0,5.0,42000.0,Just Go With It,103000.0
1746,Thomas Jane,208500.0,17.0,12300.0,Deep Blue Sea,73600.0
1747,Kevin Smith,207700.0,6.0,34600.0,Live Free or Die Hard,134500.0
1748,Erika Christensen,203500.0,11.0,18500.0,Flightplan,89700.0
1749,Brandon Routh,203100.0,3.0,67700.0,Superman Returns,200100.0
1750,Matthew Perry,200900.0,7.0,28700.0,17 Again,64200.0
1751,Tye Sheridan,195100.0,8.0,24400.0,X-Men: Apocalypse,155400.0
1752,Ne-Yo,194800.0,3.0,64900.00000000001,Battle: Los Angeles,83600.0
1753,Katharine Hepburn,194200.0,4.0,48600.0,On Golden Pond,119300.0
1754,Alexander Skarsgård,191400.0,8.0,23900.0,The Legend of Tarzan,126600.0
1755,Jenna Fischer,189900.0,9.0,21100.0,Blades of Glory,118600.0
1756,James Purefoy,187900.0,6.0,31300.0,John Carter,73100.0
1757,Martin Donovan,186200.0,21.0,8900.0,Insomnia,67400.0
1758,Christopher Guest,182800.0,2.0,91400.0,Night at the Museum II,177200.0
1759,Alex Russell,180200.0,4.0,45100.0,Unbroken,115600.0
1760,Aubrey Plaza,178500.0,13.0,13700.0,Funny People,51900.0
1761,Amanda Crew,177800.0,7.0,25400.0,The Haunting in Connecticut,55400.0
1762,Luke Bracey,171000.0,5.0,34200.0,Hacksaw Ridge,67200.0
1763,Anna Friel,169400.0,11.0,15400.0,Limitless,79200.0
1764,Aziz Ansari,168600.0,3.0,56200.0,Epic,107500.0
1765,Jordan Peele,167200.0,3.0,55700.0,Captain Underpants,73900.0
1766,Zachary Gordon,165700.0,3.0,55200.0,Diary of a Wimpy Kid,64000.0
1767,Rosemarie DeWitt,164500.0,14.0,11700.0,The Odd Life of Timothy Green,51900.0
1768,Philip Kaufman,163200.0,8.0,20400.0,Rising Sun,63200.0
1769,Suraj Sharma,161400.0,2.0,80700.0,Life of Pi,125000.0
1770,Greta Gerwig,156200.0,17.0,9200.0,No Strings Attached,70700.0
1771,Peter Krause,155600.0,4.0,38900.0,Truman Show,125600.0
1772,Cody Horn,154900.0,4.0,38700.0,Magic Mike,113700.0
1773,Analeigh Tipton,151800.0,4.0,37900.0,"Crazy, Stupid, Love.",84400.0
1774,Katie Cassidy,150400.0,4.0,37600.0,Nightmare on Elm Street,63100.0
1775,Gillian Anderson,146800.0,14.0,10500.0,X-Files,83900.0
1776,Corey Haim,141100.0,10.0,14100.0,The Lost Boys,32200.000000000004
1777,Jeremy Sumpter,139900.0,4.0,35000.0,Peter Pan,48500.0
1778,Ron Howard,139100.0,4.0,34800.0,American Graffiti,115000.0
1779,Nicki Minaj,137900.0,2.0,69000.0,The Other Woman,83900.0
1780,Imogen Poots,136500.0,16.0,8500.0,Need for Speed,43600.0
1781,Penn Badgley,134600.0,6.0,22400.0,Easy A,58400.0
1782,Romola Garai,134400.0,11.0,12200.0,Atonement,50900.0
1783,Elisabeth Moss,133200.0,17.0,7800.0,Get Him to the Greek,61000.0
1784,Gabourey Sidibe,132500.0,4.0,33100.0,Tower Heist,78000.0
1785,Noah Ringer,131800.0,1.0,131800.0,The Last Airbender,131800.0
1786,Dianna Agron,131600.0,5.0,26300.0,I Am Number Four,55100.0
1787,Chris Farley,129699.99999999999,6.0,21600.0,Tommy Boy,32700.000000000004
1788,Kate Upton,128199.99999999999,2.0,64099.99999999999,The Other Woman,83900.0
1789,Sean 'P. Diddy' Combs,126400.0,4.0,31600.0,Get Him to the Greek,61000.0
1790,Lance Reddick,120600.0,6.0,20100.0,Don't Say a Word,55000.0
1791,Nikki Blonsky,118900.0,3.0,39600.0,Hairspray (2007),118900.0
1792,Rob Reiner,116900.0,1.0,116900.0,The Wolf of Wall Street,116900.0
1793,Eminem,116800.0,1.0,116800.0,8 Mile,116800.0
1794,Sarah Polley,116200.0,19.0,6100.0,Dawn of the Dead,59000.0
1795,Mark Duplass,114900.0,5.0,23000.0,Tammy,84500.0
1796,Thomas Dekker,112400.0,5.0,22500.0,Nightmare on Elm Street,63100.0
1797,Max Records,107700.0,2.0,53800.0,Where the Wild Things Are,77200.0
1798,Gael Garcia Bernal,107100.0,22.0,4900.0,Babel,34300.0
1799,Chloe Sevigny,107000.0,21.0,5100.0,Zodiac,33100.0
2150,Jay Chou,105300.0,2.0,52700.0,The Green Hornet,98800.0
2151,Dustin Ingram,104100.0,2.0,52000.0,Paranormal Activity 3,104000.0
2152,Sophie Okonedo,103500.0,7.0,14800.0,The Secret Life of Bees,37800.0
2153,Shiloh Fernandez,102500.0,7.0,14600.0,Evil Dead (2013),54200.0
2154,Alyson Michalka,100900.0,3.0,33600.0,Easy A,58400.0
2155,Jenna Dewan-Tatum,100500.0,4.0,25100.0,Step Up,65300.0
2156,Katee Sackhoff,100100.0,3.0,33400.0,Riddick,42000.0
2157,Max Irons,98200.0,5.0,19600.0,Red Riding Hood,37700.0
2158,Rachel Bilson,95300.0,5.0,19100.0,Jumper,80200.0
2159,Keith Gordon,91300.0,1.0,91300.0,Back to School,91300.0
2160,Roberto Benigni,88900.0,11.0,8100.0,Life Is Beautiful,57600.0
2161,Portia Doubleday,88600.0,4.0,22200.0,"Big Mommas: Like Father, Like Son",37900.0
2162,Prince,87900.0,4.0,22000.0,Purple Rain,70300.0
2163,Goran Visnjic,86100.0,7.0,12300.0,Practical Magic,46700.0
2164,Ryan Guzman,85400.0,3.0,28500.0,The Boy Next Door,35400.0
2165,Gina Rodriguez,84700.0,4.0,21200.0,Deepwater Horizon,61400.0
2166,Tupac Shakur,83100.0,6.0,13800.0,Poetic Justice,27500.0
2167,Julie Delpy,80500.0,16.0,5000.0,American Werewolf in Paris,26600.0
2168,Werner Herzog,80400.0,4.0,20100.0,Jack Reacher,80100.0
2169,Justin Bieber,79200.0,2.0,39600.0,Justin Bieber,73000.0
2170,Chace Crawford,78300.0,5.0,15700.0,What to Expect When You're Expecting,41200.0
2171,Alex Kendrick,78200.0,3.0,26100.0,Courageous,34500.0
2172,Jason O'Mara,77300.0,3.0,25800.0,Resident Evil: Extinction,50600.0
2173,Quinton 'Rampage' Jackson,77300.0,3.0,25800.0,The A-Team,77200.0
2174,Wilmer Valderrama,76800.0,8.0,9600.0,Larry Crowne,35600.0
2175,Dean Norris,76700.0,7.0,11000.0,Fist Fight,32200.000000000004
2176,Matt LeBlanc,73600.0,3.0,24500.0,Lost in Space,69100.0
2177,Sarah Paulson,72800.0,6.0,12100.0,12 Years a Slave,56700.0
2178,Keenen Ivory Wayans,69200.0,4.0,17300.0,A Low Down Dirty Shame,29400.0
2179,Cecile de France,67400.0,10.0,6700.0,Hereafter,32700.000000000004
2180,Garry Marshall,67200.0,1.0,67200.0,Race to Witch Mountain,67200.0
2181,Grant Heslov,67100.0,1.0,67100.0,Dante's Peak,67100.0
2182,Katherine McPhee,67100.0,2.0,33600.0,The House Bunny,48200.0
2183,Sofia Coppola,66700.0,1.0,66700.0,The Godfather Part III,66700.0
2184,Taylor Schilling,66200.0,3.0,22100.0,The Lucky One,60500.0
2185,Kenny Wormald,64400.00000000001,4.0,16100.000000000002,Footloose,51800.0
2186,Emilie de Ravin,64000.0,4.0,16000.0,The Hills Have Eyes,41800.0
2187,Mary-Kate Olsen,63500.0,4.0,15900.0,Beastly,27900.0
2188,Carlos Mencia,57000.0,2.0,28500.0,The Heartbreak Kid,36800.0
2189,Callan McAuliffe,56900.0,3.0,19000.0,I Am Number Four,55100.0
2190,Elisabeth Rohm,56500.0,1.0,56500.0,Joy,56500.0
2191,Ashley Bell,56200.0,2.0,28100.0,The Last Exorcism,41000.0
2192,Melissa Benoist,50500.0,2.0,25300.0,The Longest Ride,37400.0
2193,Matthias Schoenaerts,49400.0,11.0,4500.0,Far from the Madding Crowd,12200.0
2194,Matisyahu,49100.0,1.0,49100.0,The Possession,49100.0
2195,Naturi Naughton,47200.0,2.0,23600.0,Lottery Ticket,24700.0
2196,Rhys Wakefield,46700.0,3.0,15600.0,Endless Love,23400.0
2197,Carrie Underwood,43900.0,1.0,43900.0,Soul Surfer,43900.0
2198,Scott Mescudi,43700.0,3.0,14600.0,Need for Speed,43600.0
2199,M. Night Shyamalan,42300.0,1.0,42300.0,Lady in the Water,42300.0
2200,Colin Egglesfield,39100.0,2.0,19600.0,Something Borrowed,39000.0
2201,Minka Kelly,38400.0,2.0,19200.0,The Roommate,37300.0
2202,Seu Jorge,36100.0,7.0,5200.0,The Life Aquatic,24000.0
2203,Claire Foy,33000.0,3.0,11000.0,Season of the Witch,24800.0
2204,Thomas Horn,31800.0,1.0,31800.0,Extremely Loud & Incredibly Close,31800.0
2205,Ellen Wong,31500.0,1.0,31500.0,Scott Pilgrim vs. the World,31500.0
2206,Jason Momoa,31000.0,4.0,7700.0,Conan the Barbarian,21300.0
2207,Quentin Tarantino,28700.0,2.0,14300.0,From Dusk Till Dawn,25800.0
2208,Tom Sturridge,23700.0,7.0,3400.0,Far from the Madding Crowd,12200.0
2209,Leigh Whannell,22500.0,2.0,11200.0,The Bye Bye Man,22400.0
2210,Crystal Reed,21500.0,2.0,10700.0,Skyline,21400.0
2211,Mike Binder,19100.0,2.0,9500.0,The Upside of Anger,18800.0
2212,Jessica Brown Findlay,18400.0,2.0,9200.0,Winter's Tale,12600.0
2213,Demetri Martin,17600.0,4.0,4400.0,Taking Woodstock,7500.0
2214,Brit Marling,17200.0,7.0,2500.0,Arbitrage,7900.0
2215,Kang-ho Song,14100.0,8.0,1800.0,The Interview (2014),6100.0
2216,Harold Ramis,11600.0,1.0,11600.0,The Last Kiss (2006),11600.0
2217,Aimee Teegarden,10200.0,3.0,3400.0,Prom,10100.0
2218,Akiva Schaffer,9600.0,1.0,9600.0,Popstar,9600.0
2219,John Cameron Mitchell,9300.0,3.0,3100.0,Band of the Hand,4900.0
2220,Josh Zuckerman,8400.0,2.0,4200.0,Sex Drive,8400.0
2221,John Wayne,8200.0,2.0,4100.0,The Shootist,8100.0
2222,Jay Duplass,8100.0,2.0,4000.0,Beatriz At Dinner,7100.0
2223,Tracy Letts,7400.0,5.0,1500.0,Indignation,3400.0
2224,Macon Blair,5800.0,3.0,1900.0,Green Room,3200.0
2225,Vincent Gallo,5100.0,8.0,635,Buffalo '66,2400.0
2226,Miranda July,4500.0,2.0,2200.0,Me and You and Everyone We Know,3900.0
2227,Emily Ratajkowski,3600.0,1.0,3600.0,We Are Your Friends,3600.0
2228,Bel Powley,1800.0,5.0,352,The Diary of a Teenage Girl,1500.0
2229,Jim Jarmusch,1300.0,1.0,1300.0,Blue in the Face,1300.0
2230,Prabhu Dheva,892,1.0,892,ABCD (Any Body Can Dance) 2,892
2231,David Lynch,765,1.0,765,Lucky (2017),765
2232,Josh Radnor,718,3.0,239,Liberal Arts,327
2233,Morgan Spurlock,638,1.0,638,POM Wonderful Presents: The Greatest Movie Ever Sold,638
2234,Mike Nichols,215,1.0,215,The Designated Mourner,215
2235,Brian De Palma,165,1.0,165,De Palma,165
2236,Michael Moore,149,1.0,149,Michael Moore In TrumpLand,149
2237,David Wain,101,2.0,50.3,Delirious (2007),86.5
2238,Sebastián Silva,79.8,1.0,79.8,Nasty Baby,79.8
2239,Eli Roth,58.5,1.0,58.5,Aftershock,58.5
2240,Jay Chandrasekhar,41.6,1.0,41.6,The Slammin' Salmon,41.6
2241,Alex Ross Perry,28.2,1.0,28.2,7 Chinese Brothers,28.2
2242,Nick Jonas,23.0,1.0,23.0,Goat,23.0
2243,Joseph Schneider,15.0,1.0,15.0,I'm Not Jesus Mommy,15.0
2244,Rory Kinnear,5.7,1.0,5.7,Trespass Against Us,5.7
